섹션	층	단	거리순서	챕터	저장상태	상태	공간유형
A	1	1	1	1	0	ACTIVE	반박스
A	1	1	2	1	0	ACTIVE	반박스
A	1	1	3	1	0	HOLD	반박스
A	1	1	4	1	0	ACTIVE	반박스
A	1	1	5	1	0	ACTIVE	반박스
A	1	1	6	1	0	HOLD	반박스
A	1	1	7	1	0	ACTIVE	반박스
A	1	1	8	1	0	ACTIVE	반박스
A	1	1	9	2	0	HOLD	반박스
A	1	1	10	2	0	ACTIVE	반박스
A	1	1	11	2	0	ACTIVE	반박스
A	1	1	12	2	0	HOLD	반박스
A	1	1	13	2	0	ACTIVE	반박스
A	1	1	14	2	0	HOLD	반박스
A	1	1	15	2	0	ACTIVE	반박스
A	1	1	16	2	0	ACTIVE	반박스
A	2	2	1	1	1	ACTIVE	흰색
A	2	2	2	1	1	HOLD	흰색
A	2	1	3	1	1	HOLD	흰색
A	2	1	4	1	0	ACTIVE	흰색
A	2	2	5	1	1	ACTIVE	흰색
A	2	2	6	1	1	ACTIVE	흰색
A	2	1	7	1	1	ACTIVE	흰색
A	2	1	8	1	1	HOLD	흰색
A	2	2	9	1	1	HOLD	흰색
A	2	2	10	1	0	ACTIVE	흰색
A	2	1	11	1	1	ACTIVE	흰색
A	2	1	12	1	0	ACTIVE	흰색
A	2	2	13	1	1	ACTIVE	흰색
A	2	2	14	1	1	HOLD	흰색
A	2	1	15	1	1	HOLD	흰색
A	2	1	16	1	0	ACTIVE	흰색
A	2	2	17	1	1	ACTIVE	흰색
A	2	2	18	1	1	ACTIVE	흰색
A	2	1	19	1	1	ACTIVE	흰색
A	2	1	20	1	1	HOLD	흰색
A	2	2	21	2	1	HOLD	흰색
A	2	2	22	2	1	ACTIVE	흰색
A	2	1	23	2	1	ACTIVE	흰색
A	2	1	24	2	1	ACTIVE	흰색
A	2	2	25	2	1	ACTIVE	흰색
A	2	2	26	2	1	HOLD	흰색
A	2	1	27	2	1	HOLD	흰색
A	2	1	28	2	1	ACTIVE	흰색
A	2	2	29	2	1	ACTIVE	흰색
A	2	2	30	2	1	ACTIVE	흰색
A	2	1	31	2	1	ACTIVE	흰색
A	2	1	32	2	1	HOLD	흰색
A	2	2	33	2	1	HOLD	흰색
A	2	2	34	2	1	ACTIVE	흰색
A	2	1	35	2	1	ACTIVE	흰색
A	2	1	36	2	0	HOLD	흰색
A	2	2	37	2	1	HOLD	흰색
A	2	1	38	2	1	ACTIVE	흰색
A	3	2	1	1	0	HOLD	흰색
A	3	2	2	1	0	ACTIVE	흰색
A	3	1	3	1	1	ACTIVE	흰색
A	3	1	4	1	1	ACTIVE	흰색
A	3	1	5	1	1	HOLD	반박스
A	3	1	6	1	1	ACTIVE	반박스
A	3	1	7	1	1	ACTIVE	풀박스
A	3	1	8	1	0	HOLD	반박스
A	3	1	9	1	0	ACTIVE	반박스
A	3	1	10	1	0	ACTIVE	반박스
A	3	1	11	1	0	HOLD	반박스
A	3	1	12	2	0	ACTIVE	반박스
A	3	1	13	2	0	ACTIVE	반박스
A	3	1	14	2	0	HOLD	반박스
A	3	1	15	2	0	ACTIVE	반박스
A	3	1	16	2	0	ACTIVE	반박스
A	3	1	17	2	0	HOLD	반박스
A	3	1	18	2	0	ACTIVE	반박스
A	3	1	19	2	0	ACTIVE	반박스
B	1	1	1	1	1	HOLD	반박스
B	1		2	1	0	ACTIVE	반박스
B	1		3	1	1	ACTIVE	풀박스
B	1		4	1	1	HOLD	반박스
B	1		5	2	1	ACTIVE	반박스
B	1		6	2	1	ACTIVE	반박스
B	1		7	2	1	HOLD	반박스
B	1	1	8	2	1	ACTIVE	반박스
B	1	1	9	2	1	ACTIVE	반박스
B	1	1	10	2	1	HOLD	반박스
B	1	1	11	2	0	ACTIVE	반박스
B	1	1	12	2	0	ACTIVE	반박스
B	1	1	13	2	0	HOLD	반박스
B	1	1	14	2	0	ACTIVE	반박스
B	1	1	15	2	0	ACTIVE	반박스
B	1	1	16	2	0	ACTIVE	반박스
B	2	2	1	1	1	ACTIVE	노란색
B	2	2	2	1	0	HOLD	노란색
